name,agency,location,genres,website
Holly McGhee,Pippin Properties,New York,"Graphic Novel, Young Adult, Children's Book, Middle Grade, Picture Book",http://www.pippinproperties.com/
ZoA Pagnamenta,Calligraph Literary Agency,New York,"Nonfiction, Business Book, Memoir, Narrative Nonfiction, Literary Fiction, Politics, Self-Help, Spirituality",https://www.calligraphlit.com/agents
Jonny Geller,Curtis Brown UK,London,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics",https://www.curtisbrown.co.uk/
Douglas Stewart,Sterling Lord Literistic Inc.,New York,"Fiction, Commercial Fiction, Literary Fiction, Mystery, Women's Fiction",https://www.sll.com/
Elisabeth Weed,The Book Group,New York,"Fiction, Commercial Fiction",http://www.thebookgroup.com/
Lisa Erbach Vance,Aaron M. Priest Literary Agency,New York,"Fiction, Thriller, Women's Fiction, Narrative Nonfiction, Nonfiction",http://aaronpriest.com
Michelle Brower,Trellis Literary Management,Boston,"Commercial Fiction, Literary Fiction, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction, Fantasy, Historical Fiction, Short Story, Thriller",https://www.trellisliterary.com/
Pete Knapp,"Park, Fine & Brower Literary Management",New York,"Fiction, Fantasy, Science Fiction, Children's Book, Middle Grade",http://www.parkfine.com/
Ginger Knowlton,"Curtis Brown, Ltd.",New York,"Young Adult, Middle Grade, Fiction, Nonfiction",https://curtisbrown.com/
Carly Watters,P.S. Literary Agency,Toronto,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Thriller, Women's Fiction, Nonfiction, Cookbook, Narrative Nonfiction, Business Book, Memoir, Mystery, Romance",https://www.psliterary.com/
Monika Verma,Levine Greenberg Rostan Literary Agency,New York,"Humor, Nonfiction, Memoir, Narrative Nonfiction",https://lgrliterary.com/
Andrea Morrison,Writers House,New York,"Fiction, Literary Fiction, Young Adult, Children's Book, Middle Grade, Picture Book, Diverse Fiction",http://www.writershouse.com/
Joanna Volpe,"New Leaf Literary & Media, Inc.",New York,"Fiction, Commercial Fiction, Fantasy, Literary Fiction, Science Fiction, Nonfiction, Narrative Nonfiction, Diverse Fiction, BIPOC, Feminism, LGBTQ",http://www.newleafliterary.com/
Sarah Burnes,The Gernert Company,New York,"Fiction, Literary Fiction, Nonfiction, Narrative Nonfiction, Children's Book, Commercial Fiction",http://www.thegernertco.com/
Kevan Lyon,"Marsal Lyon Literary Agency, LLC",San Diego,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Mystery, Romance, Women's Fiction",https://www.marsallyonliteraryagency.com/
Amy Giuffrida,Belcastro Agency,New York,"Fiction, Horror, Romance, Young Adult, Nonfiction, Commercial Fiction, Women's Fiction, Self-Help, Fantasy, Narrative Nonfiction, Thriller, Science Fiction",https://www.belcastroagency.com/
Susan Hawk,Upstart Crow Literary,New York,"Young Adult, Children's Book, Middle Grade, Picture Book",http://www.upstartcrowliterary.com/
Eric Myers,Myers Literary Management,New York,"Fiction, Historical Fiction, Nonfiction, Memoir",http://www.myersliterary.com/
